,name,category,address,score,eval_cnt,review_cnt
102,써브웨이 양재점,샌드위치,(지번) 도곡동 957-13,1.6,43건,리뷰 10
103,명가무안뻘낙지,"해물,생선",(지번) 서초동 1365-7,4.0,6건,리뷰 4
104,해오름자연산횟집,회,(지번) 서초동 1358-5,3.5,5건,리뷰 1
105,우리밀샤브샤브칼국수,샤브샤브,(지번) 양재동 11-53,1.5,2건,리뷰 29
106,동인동 양재점,갈비,(지번) 서초동 1361,3.7,3건,리뷰 20
107,서울김밥,분식,(지번) 양재동 12-11,3.2,6건,리뷰 9
108,청정횟집,회,(지번) 서초동 1363-25,3.0,3건,리뷰 8
109,소부곱창,"곱창,막창",(지번) 양재동 11-5,2.7,26건,리뷰 21
110,보물섬,"호프,요리주점",(지번) 양재동 11-2,5.0,2건,리뷰 30
111,정금식당,"육류,고기",(지번) 도곡동 957-9,3.0,21건,리뷰 17
112,찹쌀순대 만드는집 본점,순대,(지번) 양재동 11-55,2.9,14건,리뷰 17
113,커피빈 양재스포타임점,커피전문점,(지번) 양재동 24,3.6,5건,리뷰 5
114,미스터피자 양재점,피자,(지번) 도곡동 952-10,1.0,1건,리뷰 10
115,라임,와인바,(지번) 서초동 1362-23,0.0,0건,리뷰 10
116,고양이부엌 양재구청점,떡볶이,(지번) 서초동 1360-3,3.9,8건,리뷰 31
117,커피빈 서초뱅뱅사거리점,커피전문점,(지번) 서초동 1361-2,4.0,4건,리뷰 2
118,에머이 양재역점,베트남음식,(지번) 도곡동 953-3,2.3,12건,리뷰 87
119,불막열삼 양재역점,"곱창,막창",(지번) 도곡동 951-2,3.5,2건,리뷰 13
120,이백 양재역점,"해물,생선",(지번) 서초동 1364-40,4.0,5건,리뷰 19
121,제주산 하루방뒷고기순대국,순대,(지번) 도곡동 954-17,2.9,8건,리뷰 15
122,비베레,"호프,요리주점",(지번) 서초동 1360-34,5.0,1건,리뷰 29
123,전사랑 서초본점,"호프,요리주점",(지번) 서초동 1359-9,2.5,4건,리뷰 23
124,하루엔소쿠 양재역점,"돈까스,우동",(지번) 도곡동 955-11,4.4,27건,리뷰 25
125,소잡는날,"육류,고기",(지번) 양재동 11-12,2.3,3건,리뷰 5
126,로스트라,커피전문점,(지번) 양재동 13-1,4.5,2건,리뷰 5
127,공차 양재역점,카페,(지번) 양재동 11-17,3.4,9건,리뷰 4
128,마포갈비,갈비,(지번) 도곡동 920-9,2.8,6건,리뷰 2
129,호두까끼형제,"제과,베이커리",(지번) 도곡동 954-10,4.0,2건,리뷰 40
130,호텔페이토 강남 카페포즈,뷔페,(지번) 서초동 1361-10,2.5,2건,리뷰 9
131,나살던고향,한식,(지번) 서초동 1363-5,3.0,2건,리뷰 8
132,아리노마마,일본식주점,(지번) 도곡동 957-11,3.6,22건,리뷰 30
133,본죽&비빔밥cafe 양재은광여고점,퓨전한식,(지번) 도곡동 959-20,4.6,12건,리뷰 5
134,펀비어킹 양재역점,"호프,요리주점",(지번) 양재동 10-4,0.0,0건,리뷰 9
135,노랑통닭 양재역점,치킨,(지번) 서초동 1363-3,3.8,5건,리뷰 7
136,쿵푸훠궈,샤브샤브,(지번) 서초동 1360-48,4.7,12건,리뷰 14
137,문선생해천탕,해산물,(지번) 서초동 1357-69,4.5,6건,리뷰 5
138,타코비 양재역점,일식,(지번) 도곡동 959-17,3.0,5건,리뷰 6
139,하츠코이오카,일본식주점,(지번) 도곡동 953-1,3.9,12건,리뷰 8
140,남원골추어탕,추어,(지번) 양재동 8-4,4.9,9건,리뷰 7
141,이삭토스트 양재역점,토스트,(지번) 도곡동 959-21,4.3,6건,리뷰 4
142,투썸플레이스 뱅뱅사거리점,커피전문점,(지번) 서초동 1361-5,2.4,15건,리뷰 0
143,장수정육식당,"육류,고기",(지번) 서초동 1366-3,3.0,3건,리뷰 3
144,도곡참치,일식집,(지번) 도곡동 957-10,3.3,3건,리뷰 29
145,별난낙지,"해물,생선",(지번) 도곡동 957-4,2.0,13건,리뷰 16
146,맘스터치 양재역점,패스트푸드,(지번) 도곡동 956,1.2,9건,리뷰 1
147,부엌98,한식,(지번) 양재동 10-6,5.0,2건,리뷰 3
148,깐부치킨 양재역점,치킨,(지번) 서초동 1366-7,1.6,8건,리뷰 11
149,동대문엽기떡볶이 양재점,떡볶이,(지번) 도곡동 959-19,2.9,14건,리뷰 16
150,하우림,한정식,(지번) 양재동 8-6,3.7,3건,리뷰 15
151,파스쿠찌 양재역점,커피전문점,(지번) 도곡동 953,3.0,2건,리뷰 3
152,치킨처럼 양재역점,치킨,(지번) 서초동 1366-15,4.0,1건,리뷰 3
153,양재동태찜,"해물,생선",(지번) 양재동 11-49,2.5,4건,리뷰 4
154,근이네조개전골,조개,(지번) 도곡동 957-11,1.0,1건,리뷰 20
155,얌얌 양재점,분식,(지번) 도곡동 919-7,3.9,15건,리뷰 10
156,불로삼계백숙,삼계탕,(지번) 서초동 1364-40,4.5,4건,리뷰 2
157,송정낙지 양재직영점,"해물,생선",(지번) 양재동 13-10,0.0,0건,리뷰 17
158,첸수이,중화요리,(지번) 양재동 11-17,2.7,11건,리뷰 0
159,한촌설렁탕 서초구청점,설렁탕,(지번) 서초동 1359-13,2.2,6건,리뷰 8
160,조우,퓨전일식,(지번) 도곡동 954-13,3.9,14건,리뷰 4
161,배수경양재정육식당 17호점,"육류,고기",(지번) 양재동 13-13,1.0,5건,리뷰 0
162,하루나베,일식,(지번) 서초동 1360-45,3.2,5건,리뷰 15
163,신전떡볶이 도곡점,떡볶이,(지번) 도곡동 950-8,3.0,6건,리뷰 5
164,어명이요 서울양재점,"해물,생선",(지번) 양재동 1-2,3.0,3건,리뷰 12
165,일품향,중화요리,(지번) 도곡동 950-6,2.0,7건,리뷰 2
166,빽다방 양재역점,커피전문점,(지번) 도곡동 957-11,3.8,6건,리뷰 4
167,진배족발 양재역점,"족발,보쌈",(지번) 도곡동 953-1,3.3,3건,리뷰 13
168,배스킨라빈스 양재사옥점,아이스크림,(지번) 양재동 11-149,0.0,1건,리뷰 1
169,치킨영토 양재점,치킨,(지번) 양재동 11-56,0.0,0건,리뷰 6
170,양재족발,"족발,보쌈",(지번) 양재동 1-7,3.5,4건,리뷰 6
171,앙뉴,카페,(지번) 도곡동 954-3,3.5,2건,리뷰 9
172,벌집한판무한리필,고기뷔페,(지번) 양재동 1-7,1.3,3건,리뷰 7
173,샐러디 양재역점,패스트푸드,(지번) 서초동 1361-3,3.5,2건,리뷰 4
174,남원종가집 추어탕,추어,(지번) 도곡동 952-2,4.7,3건,리뷰 6
