name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,ZMS,link,new_category,walking_time
우작설렁탕,설렁탕,서초동 1621-5,3.7,106,57,37.486157,127.0161081,403.6778693906185,69.81,https://place.map.kakao.com/8025479,국밥,5.0
푸주옥,설렁탕,서초4동 1696-8,3.6,41,21,37.4953521,127.01523200000001,1094.9441823966172,54.06,https://place.map.kakao.com/10878103,국밥,13.0
제주은희네해장국 예술의전당점,해장국,서초동 1585-14,4.4,12,14,37.4846416,127.0121354,780.2262279560142,44.32,https://place.map.kakao.com/1776110736,국밥,9.0
이심전심 양선지해장국,해장국,서초동 1671-5,4.8,8,10,37.49343,127.0154303,898.4893620253888,40.41,https://place.map.kakao.com/1318436695,국밥,11.0
밥심이,한식,서초동 1459-9,4.2,10,8,37.4838349,127.0126447,766.963096497434,39.08,https://place.map.kakao.com/14613191,국밥,9.0
산들목전주콩나물국밥,국밥,서초동 1543-10,4.0,10,4,37.4897728,127.0090814,1084.7991593992663,36.94,https://place.map.kakao.com/22663825,국밥,13.0
부산아지매국밥 뱅뱅사거리점,국밥,역삼동 837-13,3.9,10,6,37.49168870000001,127.03183429999999,1142.2031273009375,36.24,https://place.map.kakao.com/24694036,국밥,14.0
순남시래기 교대점,한식,서초동 1698-15,3.6,11,5,37.4957417,127.0145145,1162.2193581157455,34.79,https://place.map.kakao.com/26495469,국밥,14.0
세광양대창 교대본점 본관,"곱창,막창",서초동 1571-19,4.7,63,151,37.491969899999994,127.0125692,938.1724961192892,79.05,https://place.map.kakao.com/1235425275,고기,11.0
탐라도야지,"육류,고기",서초3동 1566-8,4.0,70,220,37.489555100000004,127.01354520000001,714.1106084248872,69.58,https://place.map.kakao.com/9475630,고기,9.0
세광양대창 교대별관,"곱창,막창",서초동 1567-8,4.9,32,29,37.4901348,127.0134732,752.2961730369137,68.36,https://place.map.kakao.com/273188847,고기,9.0
자인뭉티기,"육류,고기",서초동 1363-7,4.1,60,22,37.4851322,127.03211,1021.365821406152,67.44,https://place.map.kakao.com/9412618,고기,12.0
교대이층집 본점,"육류,고기",서초동 1571-18,3.6,94,222,37.49204659999999,127.0128023,928.260707130686,67.09,https://place.map.kakao.com/25770215,고기,11.0
육전식당 4호점,"육류,고기",역삼동 823-10,3.9,64,233,37.4979875,127.03199609999999,1622.3291068343356,66.59,https://place.map.kakao.com/741391811,고기,20.0
강남곱,"곱창,막창",역삼동 830-31,4.0,49,241,37.4943264,127.0315413,1295.724099331864,64.06,https://place.map.kakao.com/263830255,고기,16.0
창고43 강남점,"육류,고기",역삼동 826-20,3.7,61,118,37.49526760000001,127.02940420000002,1243.2480893752488,62.25,https://place.map.kakao.com/1503746075,고기,15.0
소들녘 서초점,갈비,서초동 1485-5,4.3,33,110,37.4833081,127.0096598,1033.6307502993498,61.52,https://place.map.kakao.com/16502699,고기,12.0
