,name,category,star,star_count,review,address,lat,lng
572,아비꼬 예술의전당점,퓨전요리,2.7,15건,18,서울 서초구 반포대로 30 1층,37.4832191535572,127.012232768385
573,탐앤탐스 남부터미널역점,커피전문점,1.9,10건,4,서울 서초구 효령로 276 덕암빌딩 1층,37.484383366249,127.014453689027
574,서강쇠떡볶이 남부터미널점,떡볶이,3.3,4건,7,서울 서초구 효령로52길 8 혜원빌딩 1층 106호,37.4838715283798,127.012664897282
575,부산아지매국밥 BC카드점,국밥,2.9,9건,11,서울 서초구 효령로 264 1층,37.4841813353084,127.01312230063
576,배스킨라빈스 남부터미널역점,아이스크림,4.0,2건,4,서울 서초구 반포대로10길 35 서초지웰 103호,37.4842424493185,127.013690467291
577,우면산꽁보리밥집,한식,3.5,5건,13,서울 서초구 반포대로 30,37.4832191535572,127.012232768385
578,바른치킨 남부터미널점,치킨,4.2,20건,28,서울 서초구 반포대로10길 35 서초지웰 상가동 1층 101호,37.4842424493185,127.013690467291
579,설빙 남부터미널점,디저트카페,1.7,7건,5,서울 서초구 효령로 264 2층,37.4841813353084,127.01312230063
580,와라와라 예술의전당점,"호프,요리주점",4.0,7건,7,서울 서초구 반포대로 38 와라빌딩 1층/2층,37.4838948518183,127.011920818206
581,크리스피파이,디저트카페,5.0,2건,17,서울 서초구 효령로 258,37.4839904832456,127.012460494963
582,샤브향 서초남부점,동남아음식,3.2,6건,19,서울 서초구 효령로 260 2층,37.4840424529593,127.012634511497
583,퀴즈노스서브 남부터미널점,샌드위치,1.4,30건,11,서울 서초구 효령로 276 1층 102호,37.484383366249,127.014453689027
584,공차 남부터미널점,카페,3.0,3건,2,서울 서초구 효령로 292 1층,37.4835466074664,127.015110886678
585,함경순대,순대,4.1,8건,3,서울 서초구 효령로 259 동정빌딩 105호,37.484510092862,127.012479463325
586,이디야커피 예술의전당점,커피전문점,3.3,4건,2,서울 서초구 반포대로 32 원일빌딩,37.4834385607122,127.012120757084
587,바바치킨 서초직영점,치킨,0.0,0건,2,서울 서초구 효령로52길 1,37.4841270366188,127.012829790189
588,부정부페,뷔페,3.5,2건,1,서울 서초구 효령로 254,37.483968625658,127.012105352746
589,밥심이,한식,4.2,10건,8,서울 서초구 효령로52길 8,37.4838715283798,127.012664897282
590,깐부치킨 예술의전당점,치킨,3.3,4건,3,"서울 서초구 남부순환로 2419 아트빌딩 1층 2,3호",37.4816830554397,127.015076253596
591,바노이,베트남음식,4.4,5건,20,서울 서초구 반포대로 10 1층,37.4816501466664,127.012984826868
592,밀마을칼국수,국수,4.5,6건,6,서울 서초구 효령로52길 12,37.4837440242743,127.012770704706
593,맛닭꼬 예술의전당점,닭요리,3.3,4건,3,서울 서초구 반포대로 30,37.4832191535572,127.012232768385
594,미소야 서초점,"돈까스,우동",2.3,10건,4,서울 서초구 반포대로10길 35 서초지웰상가 1층 111호,37.4842424493185,127.013690467291
595,복있는집,"찌개,전골",3.5,6건,1,서울 서초구 남부순환로323길 15,37.4817109901697,127.013560775483
596,대가 본점,"사철탕,영양탕",4.5,4건,0,서울 서초구 반포대로10길 11,37.4838120876808,127.012421231706
597,김밥천국 예술의전당점,분식,0.0,0건,1,서울 서초구 반포대로10길 35,37.4842424493185,127.013690467291
598,소윤화,중화요리,4.5,2건,3,서울 서초구 남부순환로323길 49,37.4832903615863,127.013620758944
599,진심에취하다,일본식주점,5.0,1건,2,서울 서초구 효령로52길 35 101호,37.4827173677162,127.013200736839
600,EU,카페,5.0,5건,7,서울 서초구 효령로52길 8,37.4838715283798,127.012664897282
601,태평가,복어,4.5,2건,2,서울 서초구 남부순환로323길 15,37.4817109901697,127.013560775483
602,오페라빈로스터스 예술의전당점,카페,5.0,1건,0,서울 서초구 남부순환로 2433-7,37.4822086453579,127.016200203433
603,우리김밥,분식,4.0,1건,1,서울 서초구 효령로 292,37.4835466074664,127.015110886678
604,브로앤시스,카페,5.0,1건,0,서울 서초구 서초중앙로 18,37.4840476212544,127.017348668302
605,서초회관,설렁탕,2.5,2건,0,서울 서초구 효령로52길 42,37.4823995184588,127.012960082668
606,플로라벨로,테마카페,0.0,0건,33,서울 서초구 반포대로4길 62,37.4821455909279,127.016081700104
607,J Bar,카페,5.0,1건,0,서울 서초구 반포대로 32,37.4834385607122,127.012120757084
608,치&강 남부터미널점,닭강정,0.0,0건,2,서울 서초구 효령로 292 1층 121-2호,37.4835466074664,127.015110886678
609,바다양푼이동태탕 서초점,"해물,생선",5.0,1건,2,서울 서초구 반포대로 12,37.4818071951364,127.012960997921
610,생생포차,실내포장마차,4.3,3건,1,서울 서초구 반포대로8길 11-10,37.4836882654257,127.012644401577
611,카페고도,카페,0.0,0건,6,서울 서초구 효령로52길 12 1층,37.4837440242743,127.012770704706
612,가정식백반 남부촌,한식,0.0,0건,1,서울 서초구 남부순환로323길 63,37.4836201672502,127.01330039281
613,퐁데자르,"제과,베이커리",5.0,3건,1,서울 서초구 남부순환로323길 44-3,37.4830810204053,127.013936848207
614,오늘와인,술집,0.0,0건,1,서울 서초구 반포대로 38,37.4838948518183,127.011920818206
615,구름산원주추어탕,추어,0.0,0건,1,서울 서초구 효령로 254 지하,37.483968625658,127.012105352746
616,까페드센,카페,5.0,1건,2,서울 서초구 반포대로 13 1층,37.4818750626152,127.011900146102
617,그래놀라와 오슬로우,커피전문점,5.0,1건,5,서울 서초구 반포대로8길 7 1층,37.4832247088415,127.012528319453
618,루엘드파리 아뜰리에,"제과,베이커리",0.0,0건,7,서울 서초구 서초중앙로 18,37.4840476212544,127.017348668302
619,아틀란틱랍스터,바닷가재,4.0,1건,0,서울 서초구 반포대로4길 62 거암빌딩1층,37.4821455909279,127.016081700104
620,돌쇠고기,"육류,고기",0.0,0건,0,서울 서초구 효령로 261 2층,37.484552236358,127.01270187181
621,오미야,기사식당,3.0,1건,0,서울 서초구 반포대로 22,37.4828043695941,127.012703271873
622,젬인브라운,카페,2.7,3건,6,서울 서초구 남부순환로325길 17,37.481984055308,127.014574995117
623,커피온리 남부터미널점,커피전문점,1.0,1건,2,서울 서초구 효령로 292 서울남부터미널 121-1호,37.4835466074664,127.015110886678
624,소담화플라워카페,테마카페,0.0,0건,0,서울 서초구 남부순환로323길 56-3 1층,37.4836338180914,127.013689903976
625,만랩커피 남부터미널점,커피전문점,0.0,0건,0,서울 서초구 서초동 1446-11,37.4831095760729,127.016112094844
626,미셸푸드카페안젤로 서초평화지점,카페,4.0,1건,0,서울 서초구 반포대로 22,37.4828043695941,127.012703271873
627,장충동왕족발,"족발,보쌈",0.0,0건,0,서울 서초구 서초중앙로 14,37.4835986618593,127.017864818801
628,아워홈 게임빌서초점,한식,5.0,1건,0,서울 서초구 서초중앙로 4,37.482713030212,127.018063486739
