name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,ZMS
파스쿠찌 신분당양재역점,커피전문점,양재동 12-1,2.8,6,1,37.48427589999999,127.0348189,1273.2402571082914,20.01
파브리끄 양재점,카페,서초동 1359-14,3.3,4,36,37.48574179999999,127.03084140000001,902.0025132620917,20.0
해담 서초본점,회,서초동 1578-5,1.9,13,4,37.4883829,127.0140865,616.9492330230904,19.99
커피앳웍스 양재역점,커피전문점,서초동 1366-5,3.3,4,32,37.4849537,127.0330892,1109.7771649921233,19.93
코로돈,"돈까스,우동",서초동 1647-2,3.0,5,5,37.4905065,127.02122560000001,448.4809753939386,19.92
종로김밥 양재점,분식,서초동 1360,2.3,8,7,37.48674329999999,127.0311145,922.5683371848774,19.91
배스킨라빈스 CAFE31서초우성,아이스크림,서초동 1337-34,2.4,7,15,37.49268989999999,127.0296524,1050.2841932980893,19.88
궁삼계탕 역삼본점,삼계탕,역삼1동 837-19,2.2,9,4,37.4909385,127.03264569999999,1166.8554255099216,19.84
깐부치킨 서초삼성타운점,치킨,서초동 1330,2.3,8,6,37.4939235,127.02789950000002,1043.7359112227268,19.83
소공동뚝배기집 강남킵유어포크점,"찌개,전골",역삼동 825-24,3.5,4,3,37.4968317,127.0298284,1405.0695310810845,19.78
투썸플레이스 교대역점,커피전문점,서초동 1673-2,2.3,8,5,37.4937565,127.0149262,952.6876072079976,19.74
할리스커피 양재역1호점,커피전문점,양재동 13-11,2.7,6,3,37.4829903,127.0361765,1423.3188004648416,19.72
다미선,"해물,생선",서초동 1328-7,2.5,6,37,37.4952858,127.0283364,1188.772525314289,19.64
비어호프,"호프,요리주점",역삼동 826-27,3.5,4,2,37.4966521,127.03001280000001,1398.3211842169233,19.61
카페밀브리지,커피전문점,역삼동 832-22,3.5,4,2,37.49320720000001,127.03131259999999,1199.7562922870147,19.61
쉬즈베이글 교대점,디저트카페,서초동 1626-4,3.5,4,2,37.48870460000001,127.01647609999999,443.4771421724105,19.61
바스버거 양재점,햄버거,서초동 1359-22,3.3,4,15,37.4858536,127.030529,873.4539634620627,19.51
쥬스식스 강남역지하상가점,생과일전문점,역삼동 858,3.0,5,2,37.49701719999999,127.02816809999999,1344.0990057845233,19.51
최수사,일식집,서초동 1443-32,3.0,5,2,37.4852133,127.01877879999999,219.193577927966,19.51
오목집 역삼점,"족발,보쌈",역삼동 827-44,2.8,5,22,37.496946799999996,127.03090470000001,1471.8648158966666,19.45
삼라정,한정식,서초동 1362,1.9,11,15,37.4861825,127.03261880000001,1055.4807717376464,19.43
사람사는 고깃집 김일도 서초구청점,"육류,고기",서초동 1364-44,3.3,4,12,37.4854211,127.0314041,955.2606880979432,19.38
김영희강남동태찜 강남점,"해물,생선",역삼동 827-71,3.3,4,11,37.495692299999995,127.03175209999999,1415.0679491728424,19.34
화라,중화요리,서초동 1365-6,2.7,6,1,37.484559499999996,127.0307187,913.0634005204145,19.31
육대장 남부터미널점,국밥,서초동 1589-12,3.3,4,10,37.48580850000001,127.0134317,642.6316655006121,19.29
김영희강남동태찜 교대점,"해물,생선",서초동 1570-1,3.3,4,10,37.4913609,127.0120469,932.8945056692547,19.29
굽네치킨 서초2동점,치킨,서초동 1334-1,3.0,5,1,37.4906059,127.02692809999999,717.0804374012198,19.28
푸드카페김밥천국 교대역점,분식,서초동 1571-16,2.1,9,7,37.49251290000001,127.0126379,973.993960180454,19.25
동대문엽기떡볶이 강남역점,떡볶이,서초동 1317,1.8,11,49,37.4988517,127.0255375,1439.4162555814717,19.17
아리스타커피 삼성타운점,커피전문점,서초동 1327,3.3,4,8,37.4955719,127.02707520000001,1156.7542018361114,19.17
