name,category,address,score,eval_cnt,review_cnt
곰바로곰탕,곰탕,역삼동 836-48,5.0,1,0
서초골,한식,역삼동 838-8,0.0,0,0
몽,카페,역삼동 839-4,0.0,0,0
밀랩,도시락,서초동 1338-20,0.0,0,0
반주상회,술집,서초동 1338-25,0.0,0,0
커피콩스토리,커피전문점,역삼동 837-26,0.0,0,0
그릴한덮밥,도시락,역삼동 837-26,3.0,1,1
터치카페 서초효성점,커피전문점,서초동 1337-6,0.0,0,0
드시옹,도시락,역삼동 837-11,0.0,0,0
돌쇠한식전문점,한식,서초동 1337-22,1.0,1,0
고스탑뱅뱅사거리점,술집,역삼동 837-18,0.0,0,0
직화덮밥의집 배미소 강남1호점,퓨전요리,서초동 1338-25,1.0,1,1
김앤유특산품요리,한식,역삼동 836,0.0,0,0
금강산,한식,서초동 1337-22,0.0,0,0
금성커피,커피전문점,역삼동 836,0.0,0,0
카페구뜨,카페,서초동 1337-22,0.0,0,0
소문난밥상,한식,서초동 1338-1,0.0,0,0
아이리스,카페,서초동 1338-20,0.0,0,0
뱅뱅시골집,한식,역삼동 837-12,3.5,2,0
카페109,카페,서초동 1338-1,0.0,0,0
전주희약선가마솥국밥,국밥,역삼동 837-17,0.0,0,0
에슬로우뱅뱅사거리점,카페,역삼동 836-25,0.0,0,0
히어로,술집,역삼동 836-1,0.0,0,0
하녹,"육류,고기",역삼동 839,0.0,0,0
로바다야끼,일식,역삼동 836-25,0.0,0,0
금강섞어찌개,"찌개,전골",서초동 1337-22,0.0,0,0
천궁,"호프,요리주점",서초동 1337-22,0.0,0,0
세로방,양식,역삼동 837-26,0.0,0,0
모로티,커피전문점,역삼동 837-26,0.0,0,0
어가람,일식집,역삼1동 837-11,0.0,0,0
버드나무집 서초본점,"육류,고기",서초2동 1340-5,3.2,169,72
서초남순남순대국 본점,순대,도곡동 945-2,3.4,95,39
해우리 강남본점,"해물,생선",도곡동 942-1,2.9,25,21
육갑식당 뱅뱅점,"육류,고기",서초동 1340-14,4.0,4,272
양재정육식당 역삼뱅뱅점,"육류,고기",서초동 1340-1,4.0,3,26
참족,"족발,보쌈",도곡동 946-10,4.8,6,100
7%칠백식당 서초직영점,"육류,고기",서초동 1357-5,3.5,11,76
참설농탕 서초점,설렁탕,서초동 1340,2.7,20,35
한국수 서초점,국수,서초동 1341-8,2.5,15,127
예당,한식,도곡동 946-9,3.2,6,13
스타벅스 뱅뱅사거리점,커피전문점,도곡동 946-14,3.1,11,13
가마목,"육류,고기",도곡동 943-4,4.1,9,33
신라스테이 서초 카페,뷔페,서초동 1339-1,0.0,0,18
남강메기 서초직영점,"매운탕,해물탕",서초동 1340-2,4.3,6,17
차돌소풍 서초점,"육류,고기",서초동 1341-9,4.1,25,23
두두컴퍼니,"육류,고기",도곡동 945-16,4.0,5,27
뚜레쥬르 뱅뱅사거리점,"제과,베이커리",도곡동 943-2,1.8,6,6
이차돌 뱅뱅사거리점,"육류,고기",도곡동 943-2,0.0,0,45
맛찬들왕소금구이 서울도곡점,"육류,고기",도곡동 945-4,4.2,14,13
고래똥,실내포장마차,도곡동 942-9,4.0,2,4
광양참숯불고기 강남점,"불고기,두루치기",서초2동 1341-2,2.0,3,2
딥바이후킹테이스트,양식,도곡동 945-18,0.0,0,33
담소소사골순대육개장 서초점,순대,서초동 1341-5,3.7,10,16
듬북담북 뱅뱅점,"해물,생선",서초동 1340-3,3.2,12,11
양양,양꼬치,도곡동 945-1,4.0,5,7
옛맛명동칼국수,국수,역삼동 836-67,3.7,6,9
사천루,중화요리,도곡동 943-5,5.0,1,4
땡스브레드엔커피,디저트카페,역삼동 839-5,4.3,3,4
토봉추어탕,추어,서초동 1340-12,4.7,9,6
속초365홍게대게 서울점,"게,대게",서초동 1341-9,4.3,6,8
원할매이모네 닭한마리,닭요리,도곡동 944,3.7,3,12
한강수정육식당,"육류,고기",도곡동 945,0.0,0,1
365일기분좋은날 잔치날,"호프,요리주점",도곡동 944-9,0.0,0,9
굼터치킨,치킨,도곡동 942-10,3.0,1,0
파스쿠찌 뱅뱅사거리점,커피전문점,서초동 1340-11,1.8,4,1
페리카나 서초동점,치킨,서초동 1340,4.8,4,2
다원,중화요리,역삼동 836-37,4.0,1,0
오빠네부대찌개 본점,"찌개,전골",도곡동 946-10,3.7,11,2
낙여삼,"해물,생선",도곡동 945-20,5.0,1,7
맥켄치킨 서초2점,치킨,서초동 1357-33,5.0,1,5
두메 도곡점,한식,도곡동 942-8,4.4,9,8
에이림커피,카페,도곡동 944,4.8,7,1
만땅커피,커피전문점,도곡동 945,5.0,4,1
카페74,카페,서초동 1340-1,5.0,2,0
함경도찹쌀손순대 서초직영점,순대,서초2동 1341-3,0.0,0,0
할머니순두부집,두부전문점,도곡동 945,0.0,0,2
와곱,"곱창,막창",도곡동 942-6,0.0,0,2
브룸커피,카페,서초동 1341-7,5.0,2,0
서초청국장,한식,서초동 1357,2.5,2,6
명동할머니국수 뱅뱅사거리점,국수,도곡동 945-1,4.0,4,0
수가맥,"호프,요리주점",서초동 1340-13,0.0,0,2
한강수,한식,도곡동 945,0.0,0,0
제이제이,보드카페,도곡동 942-11,0.0,0,0
바텐,술집,서초동 1340-1,0.0,0,0
한국관,한식,서초동 1340-1,0.0,0,0
쭈꼼가 서초점,"해물,생선",서초동 1340,5.0,1,0
홍가네김치독,음식점,역삼동 836-68,0.0,0,2
옛날전통육개장 도곡본점,한정식,도곡동 945,0.0,0,0
뉴한양돈가스,한식,역삼동 836-68,4.0,2,1
왕족발보쌈,"족발,보쌈",서초동 1339-4,0.0,0,1
모범시민카페,커피전문점,서초동 1341-9,4.7,18,0
뱅뱅막국수 역삼본점,국수,도곡동 943-2,0.0,0,0
김펄펄 배달대기1호점,"족발,보쌈",도곡동 941-6,0.0,0,4
돈도란,한식,도곡동 943-2,4.0,1,4
아워948,카페,도곡동 946-20,3.0,1,2
오아시스,양식,도곡동 942-11,0.0,0,0
김환쪽갈비,한식,역삼동 836-69,0.0,0,0
카페S,카페,도곡동 944,0.0,0,0
김밥까페 도곡점,분식,도곡동 945,0.0,0,0
뱅뱅우거지갈비탕,닭요리,서초동 1340,0.0,0,0
참고을,한식,도곡동 942-6,5.0,1,0
쌈도락 뱅뱅점,도시락,도곡동 945-1,0.0,0,0
찌개집,"찌개,전골",서초동 1339-4,5.0,1,0
다트뉴스,카페,도곡동 945,0.0,0,0
소설바,술집,서초동 1341-3,0.0,0,0
벙커,양식,도곡동 944-1,0.0,0,0
속초물회촌돼지,한식,서초2동 1340,0.0,0,0
커피박스,커피전문점,도곡동 943-2,0.0,0,0
마르쥬카페,"호프,요리주점",서초동 1340,0.0,0,0
한앤둘퓨전미락,치킨,서초동 1340-12,0.0,0,0
와니스퍼브,"호프,요리주점",도곡1동 945-16,0.0,0,0
MBK생선가게,"해물,생선",서초동 1340-14,0.0,0,0
야끼,"호프,요리주점",도곡동 945-1,0.0,0,0
부름커피,커피전문점,서초동 1341-7,0.0,0,0
행복한식탁,한식,도곡동 942-6,0.0,0,0
프릳츠 양재점,카페,서초동 1363-10,3.6,64,481
임병주산동손칼국수,국수,서초2동 1365,3.3,216,361
크라이치즈버거 양재역점,햄버거,서초동 1358-8,4.2,63,153
황재벌,장어,서초동 1360-47,3.5,93,142
진스시,"초밥,롤",서초동 1357-60,3.4,9,103
쿠오레에스프레소,커피전문점,서초동 1357-66,3.3,38,381
로스옥 양재점,한식,도곡동 952-8,3.1,24,41
엘린포레,뷔페,도곡동 953-1,3.3,10,125
옛날농장 양재점,갈비,도곡동 954-17,2.9,16,45
오향절면 본가,국수,도곡동 954-19,3.2,33,86
작은공간,분식,도곡동 950-5,3.7,67,144
양인환대,"스테이크,립",도곡동 954-16,3.9,17,114
로마옥,이탈리안,도곡동 948-13,3.3,13,53
커피앳웍스 양재역점,커피전문점,서초동 1366-5,3.3,4,32
예촌,한정식,서초동 1364-5,3.6,26,8
봉피양 양재점,냉면,서초동 1357-33,1.9,15,26
화포식당 강남1호점,"육류,고기",도곡동 957-4,3.4,17,62
린참치,참치회,서초동 1358-3,4.2,11,60
순남시래기 양재점,한정식,서초동 1363-25,4.0,18,48
잰부닥,"육류,고기",도곡동 954-13,3.6,53,69
주박사 쌀국수,베트남음식,서초동 1363,4.0,30,43
미각 양재역점,양꼬치,도곡동 954-18,3.8,6,47
미카도스시 양재역점,"초밥,롤",도곡동 953-1,3.6,14,64
난지당,"호프,요리주점",도곡동 957-1,4.0,6,65
햇쌀마루,디저트카페,서초동 1364,3.5,30,19
자인뭉티기,"육류,고기",서초동 1363-7,4.1,60,22
금강수림,"해물,생선",도곡동 953-1,3.9,37,35
비스트로미 한전아트센터점,이탈리안,서초동 1344-11,4.5,4,44
영동소금구이 양재점,"육류,고기",서초동 1359-45,3.4,9,72
황소양곱창 양재점,"곱창,막창",서초동 1360-27,3.0,30,81
난랑 서초점,중화요리,서초동 1356-2,3.5,49,18
진주청국장,"찌개,전골",서초동 1365-22,3.2,24,3
타이쇼,일본식주점,도곡동 957-1,3.8,36,72
슈토 1호점 니혼슈바,일본식주점,도곡동 947-11,4.4,19,38
슈토 3호점,일식집,서초동 1361-8,4.2,10,24
돼지연구소 양재직영점,"육류,고기",서초동 1357-19,4.0,5,19
봉족발,"족발,보쌈",도곡동 954-12,3.8,17,37
삼라정,한정식,서초동 1362,1.9,11,15
투썸플레이스 양재사거리점,커피전문점,도곡동 957-3,4.3,6,4
라크렘 서초본점,디저트카페,서초2동 1364-42,3.6,17,15
하남돼지집 양재역점,삼겹살,도곡동 952-12,2.2,5,13
